Area,Location,Rent (S$/month),Headline,Link
West Singapore,Choa Chu Kang,1250,Master room for rent at Windermere-Choa chukang with private 🛁bathroom,https://sg.roomz.asia/2763
West Singapore,Bukit Batok,750,Master room for rent at 650407 with private 🛁bathroom prefer  👩female,https://sg.roomz.asia/2697
West Singapore,Bukit Panjang,700,"Bukit Panjang, Blk 418(near to Fajar LRT) Common Room with Wi-Fi, Air Con and Furnished.",https://sg.roomz.asia/2667
West Singapore,Bukit Batok,850,Single room for rent at 650413 with private 🛁bathroom,https://sg.roomz.asia/2664
West Singapore,Clementi,490,"●LADIES BEDSPACES● @ BUONA VISTA MRT(near A*STAR, NUS, SUSS, SIM, NUH, SP, ESSEC, MDIS, BIOPOLIS)",https://sg.roomz.asia/2018
West Singapore,Bukit Panjang,200,Middle room for rent at Eco Sanctuary with private 🛁bathroom,https://sg.roomz.asia/2652
West Singapore,Choa Chu Kang,475,Master room for rent at Foodfare @ Choa Chu Kang Crescent with private 🛁bathroom,https://sg.roomz.asia/2637
West Singapore,Choa Chu Kang,475,Master room for rent at Foodfare @ Choa Chu Kang Crescent with private 🛁bathroom,https://sg.roomz.asia/2636
West Singapore,Jurong East,750,Studio room for rent at Jurong East with private 🛁bathroom,https://sg.roomz.asia/2625
West Singapore,Bukit Panjang,750,Single room for rent at 519 Jelapang Rd,https://sg.roomz.asia/2623
West Singapore,Jurong West,550,Single room for rent at Jurong West Street 91,https://sg.roomz.asia/2608
West Singapore,Jurong West,1050,Single room for rent at Jurong West Swimming Complex,https://sg.roomz.asia/2599
West Singapore,Jurong West,600,Single room for rent at Jurong West (opposite Pioneer Mall),https://sg.roomz.asia/2598
West Singapore,Choa Chu Kang,880,Master room for rent ,https://sg.roomz.asia/2593
West Singapore,Choa Chu Kang,810,Single room for rent at 689677,https://sg.roomz.asia/2594
West Singapore,Bukit Panjang,700,Single room for rent at 670214,https://sg.roomz.asia/2591
West Singapore,Bukit Batok,650,Single room for rent at Bukit Batok with private 🛁bathroom,https://sg.roomz.asia/2488
West Singapore,Choa Chu Kang,800,Single room for rent at 680210,https://sg.roomz.asia/2479
North East Singapore,Punggol,850,Single room for rent at Punggol Field prefer  👩female,https://sg.roomz.asia/2756
North East Singapore,Serangoon,750,Single room for rent at Serangoon North Avenue 2 prefer  👩female,https://sg.roomz.asia/2629
North East Singapore,Hougang,550,Brand new Common Room Available for Rental at Hougang (Pls read Description),https://sg.roomz.asia/2754
North East Singapore,Hougang,650,Brand new Common Room Available for Rental at Hougang (Pls read Description),https://sg.roomz.asia/2753
North East Singapore,Sengkang,550,Clean and tidy single room for rent ,https://sg.roomz.asia/2745
North East Singapore,Ang Mo Kio,900,"Ang Mo Kio, Blk 324(near to MRT) Common Room with Wi-Fi, Air Con and Furnished. (No cooking)",https://sg.roomz.asia/2741
North East Singapore,Ang Mo Kio,1000,"Ang Mo Kio, Blk 324(5min walk to MRT) Common Room with Wi-Fi, Air Con and Furnished. (No cooking)",https://sg.roomz.asia/2735
North East Singapore,Hougang,200,Middle room for rent at Ecopolitan with private 🛁bathroom,https://sg.roomz.asia/2643
North East Singapore,Hougang,650,Master Bedroom Located at Blk 911 Hougang Street 91 (S) 530911,https://sg.roomz.asia/1577
North East Singapore,Hougang,1200,Single room for rent at 534207,https://sg.roomz.asia/2596
North East Singapore,Sengkang,900,Common room for rent at 273D Compassvale Link,https://sg.roomz.asia/2569
North East Singapore,Punggol,600,Single Study room for rent at  prefer  👩female,https://sg.roomz.asia/2483
North East Singapore,Punggol,800,Single room for rent at Samudera (Punggol),https://sg.roomz.asia/2482
North East Singapore,Punggol,800,Single room for rent at 822415,https://sg.roomz.asia/2481
North East Singapore,Hougang,800,Single room for rent at 538800 prefer  👩female,https://sg.roomz.asia/2476
North East Singapore,Hougang,750,Single room for rent at 后港51街,https://sg.roomz.asia/2464
North East Singapore,Hougang,400,🛏️Shared room for rent at Block 636,https://sg.roomz.asia/2463
North East Singapore,Punggol,1400,"Cosy Spacious Nice View Master Room, A Must Rent with private 🛁bathroom",https://sg.roomz.asia/2452
North East Singapore,Hougang,780,Single room for rent at 531997,https://sg.roomz.asia/2429
North East Singapore,Hougang,1300,Middle room for rent at 530964,https://sg.roomz.asia/2392
North East Singapore,Hougang,1300,Middle room for rent at 530964,https://sg.roomz.asia/2391
North East Singapore,North-East Singapore,550,Single room for rent at 541210 prefer  👩female 🎓student,https://sg.roomz.asia/2343
North East Singapore,Ang Mo Kio,850,Master room for rent at Ang Mo Kio Avenue 4 with private 🛁bathroom,https://sg.roomz.asia/2359
Central Singapore,Bishan,930,Fully furnished Common Room to Let,https://sg.roomz.asia/2788
Central Singapore,Bishan,950,Single room for rent at 570236 prefer  👩female,https://sg.roomz.asia/2787
Central Singapore,Bishan,950,Single room for rent at 570236 prefer  👩female,https://sg.roomz.asia/2786
Central Singapore,Toa Payoh,900,Middle room for rent at Block 85a HDB Toa Payoh (Female unit near to MRT),https://sg.roomz.asia/1924
Central Singapore,Queenstown,490,"●LADIES BEDSPACES● @ BUONA VISTA MRT(near A*STAR, NUS, SUSS, SIM, NUH, SP, ESSEC, MDIS, BIOPOLIS)",https://sg.roomz.asia/2161
Central Singapore,Holland,490," ●LADIES BEDSPACES● @ BUONA VISTA MRT(near A*STAR, NUS, SUSS, SIM, NUH, SP, ESSEC, MDIS, BIOPOLIS)",https://sg.roomz.asia/2033
Central Singapore,Toa Payoh,800,Single room for rent at 310043 prefer  👩female,https://sg.roomz.asia/2760
Central Singapore,Orchard,490,"●LADIES BEDSPACES● @ BUONA VISTA MRT(near A*STAR, NUS, SUSS, SIM, NUH, SP, ESSEC, MDIS, BIOPOLIS)",https://sg.roomz.asia/2002
Central Singapore,Bukit Timah,490,"●LADIES BEDSPACES● @ BUONA VISTA MRT(near A*STAR, NUS, SUSS, SIM, NUH, SP, ESSEC, MDIS, BIOPOLIS)",https://sg.roomz.asia/2001
Central Singapore,Buona Vista,490,"●LADIES BEDSPACES● @ BUONA VISTA MRT(near A*STAR, NUS, SUSS, SIM, NUH, SP, ESSEC, MDIS, BIOPOLIS)",https://sg.roomz.asia/2014
Central Singapore,Balestier,850,Large Common room @75 Whampoa Dr  👩females ONLY,https://sg.roomz.asia/2750
Central Singapore,Novena,750,"Full Furnished studio room for rent in 370 Thomson Rd, Singapore - Novena",https://sg.roomz.asia/2749
Central Singapore,Queenstown,490,"●LADIES BEDSPACES● @ BUONA VISTA MRT(near A*STAR, NUS, SUSS, SIM, NUH, SP, ESSEC, MDIS, BIOPOLIS)",https://sg.roomz.asia/2088
Central Singapore,Queenstown,490,"●LADIES BEDSPACES● @ BUONA VISTA MRT(near A*STAR, NUS, SUSS, SIM, NUH, SP, ESSEC, MDIS, BIOPOLIS)",https://sg.roomz.asia/2129
Central Singapore,Bukit Timah,200,Safe Delivery Light Yellow Liquid CAS 49851-31-2 in Stock ,https://sg.roomz.asia/2651
Central Singapore,Central Singapore,200,Middle room for rent at East Coast Parkway with private 🛁bathroom,https://sg.roomz.asia/2650
Central Singapore,Bishan,200,High Purity CAS 1451-82-7  ,https://sg.roomz.asia/2649
Central Singapore,Bishan,200,High Quality Fast delivery PMK OIL cas 28578-16-7 ,https://sg.roomz.asia/2648
Central Singapore,Bishan,200,Best Quality PMK Powder CAS 28578-16-7 Provide sample Yisheng,https://sg.roomz.asia/2646
Central Singapore,Bishan,200,Best Quality PMK Powder CAS 28578-16-7 Provide sample Yisheng,https://sg.roomz.asia/2645
Central Singapore,Bishan,200, Best Quality CAS 20320-59-6 Yisheng,https://sg.roomz.asia/2644
Central Singapore,Novena,750,Studio room for rent at  with private 🛁bathroom,https://sg.roomz.asia/2626
Central Singapore,Kallang,500,🛏️Shared room for rent at Saint George's Lane,https://sg.roomz.asia/2609
Central Singapore,Potong Pasir,1100,Apartment Single Common  room with Balcony,https://sg.roomz.asia/2607
Central Singapore,Toa Payoh,1200,Master room for rent at 311079 with private 🛁bathroom,https://sg.roomz.asia/2603
Central Singapore,Chinatown,1300,Single room for rent at 21 McCallum St with private 🛁bathroom,https://sg.roomz.asia/2602
Central Singapore,Kallang,1500,Single room for rent at 382115 prefer  👩female,https://sg.roomz.asia/2549
Central Singapore,Queenstown,1400,Middle room for rent at 42a Margaret Dr prefer  👩female,https://sg.roomz.asia/2521
Central Singapore,Balestier,550,Single room for rent at 320082 prefer  👩female,https://sg.roomz.asia/2487
Central Singapore,Outram,800,Single room for rent at Chinatown ,https://sg.roomz.asia/2486
Central Singapore,Toa Payoh,1200,Single room for rent at Toa Payoh,https://sg.roomz.asia/2432
Central Singapore,Geylang,1000,Single room for rent at Lorong 30 Geylang,https://sg.roomz.asia/2421
Central Singapore,Balestier,900,Single room for rent at Whampoa Drive prefer  👩female,https://sg.roomz.asia/2389
Central Singapore,Chinatown,1200,Room for rent at Chinatown,https://sg.roomz.asia/2378
Central Singapore,Orchard,1200,ORCHARD/TANGLIN Single room for rent with private 🛁bathroom prefer 👩female,https://sg.roomz.asia/2373
Central Singapore,Orchard,1300,Orchard Road (Kimsia Court) Common Room Rental,https://sg.roomz.asia/2167
Central Singapore,Bishan,900,Single room for rent at 265 Bishan Street 24,https://sg.roomz.asia/2345
Central Singapore,Kallang,1300,Commom Room for Rent @ Kallang - 2 Person ,https://sg.roomz.asia/2340
Central Singapore,Tanglin,1200,Single room for rent at 257723 with private 🛁bathroom prefer  👩female,https://sg.roomz.asia/2327
Central Singapore,Queenstown,490,"●LADIES BEDSPACES● @ BUONA VISTA MRT(near A*STAR, NUS, SUSS, SIM, NUH, SP, ESSEC, MDIS, BIOPOLIS)",https://sg.roomz.asia/2013
Central Singapore,Novena,800,Master room for rent at 307956 with private 🛁bathroom,https://sg.roomz.asia/2323
Central Singapore,Geylang,1200,Single room for rent at Lorong 30 Geylang,https://sg.roomz.asia/2314
Central Singapore,Novena,1500,Room for Rent - 33G Gilstead Road Newton Mansion,https://sg.roomz.asia/2309
East Singapore,Tampines,900,Master room for rent at Block 148 HDB Tampines with private 🛁bathroom,https://sg.roomz.asia/2149
East Singapore,Tampines,800,Tampines Central 7 - Clean & Tidy Single room for rent *AVAL* lst July 2022,https://sg.roomz.asia/2144
East Singapore,Bedok,900,Single room for rent at Bedok North Avenue 3 prefer  👩female,https://sg.roomz.asia/2053
East Singapore,Tampines,700,Middle room for rent at Tampines West,https://sg.roomz.asia/2012
East Singapore,Tampines,700,Middle room for rent at Tampines West,https://sg.roomz.asia/2007
East Singapore,Simei,950,Single room for rent at Simei,https://sg.roomz.asia/1918
East Singapore,Bedok,800,Single room for rent at Kaki Bukit 511 Market & Food Centre,https://sg.roomz.asia/1863
East Singapore,Changi,1200,Master room for rent at 509060 with private 🛁bathroom,https://sg.roomz.asia/1860
East Singapore,Changi,1200,Master room for rent at 509060 with private 🛁bathroom,https://sg.roomz.asia/1859
East Singapore,Tampines,950,Middle room for rent at 520140,https://sg.roomz.asia/1847
East Singapore,Bedok,1500,Master room for rent at 419154 with private 🛁bathroom prefer  👩female,https://sg.roomz.asia/1843
East Singapore,Bedok,800,Single room for rent at 470611 prefer  lady,https://sg.roomz.asia/1751
East Singapore,Pasir Ris,1000,Common Room for Rent in Edelweiss Park; $1000 per month,https://sg.roomz.asia/1666
East Singapore,Pasir Ris,1000,Common Room for Rent in Edelweiss Park; $1000 per month,https://sg.roomz.asia/1665
East Singapore,Bedok,400,🛏️Shared room for rent at Bedok South Avenue 2 prefer  👩female,https://sg.roomz.asia/1663
East Singapore,Tampines,850,Single room for rent at 521248,https://sg.roomz.asia/1607
East Singapore,Tampines,1000,Single room for rent at Tampines Central 7,https://sg.roomz.asia/1606
East Singapore,Simei,1200,Master Ensuite Rm nr Expo/CBP/Airport/Boeing,https://sg.roomz.asia/1591
East Singapore,Bedok,1100,Pleasant Aircon Room for Rent near Kaki Bukit MRT with Lovely Landlords,https://sg.roomz.asia/1566
East Singapore,Pasir Ris,800,Single room for rent at 510458,https://sg.roomz.asia/1545
East Singapore,Tampines,700,Single room for rent at Tampines Street 82 prefer  👩female,https://sg.roomz.asia/1537
East Singapore,East Coast,750,Middle room for rent at 423838,https://sg.roomz.asia/1535
East Singapore,Bedok,550,Single room for rent at 460009 with private 🛁bathroom,https://sg.roomz.asia/1524
North Singapore,Sembawang,850,Middle room for rent at Block 468C,https://sg.roomz.asia/1709
North Singapore,Sembawang,550,Single room for rent at 750409 prefer  👩female,https://sg.roomz.asia/1481
North Singapore,Woodlands,750,Single room for rent at Admiralty,https://sg.roomz.asia/1644
North Singapore,Yishun,750,Single room for rent at Yishun Street 81 prefer  👩female,https://sg.roomz.asia/1595
North Singapore,Sembawang,600,Study room for rent at Sembawang,https://sg.roomz.asia/1589
North Singapore,Woodlands,750,Single room for rent at Woodlands Avenue 5 prefer  👩female,https://sg.roomz.asia/1552
North Singapore,Woodlands,750,Single room for rent at Woodlands prefer  👩female,https://sg.roomz.asia/1543
North Singapore,Yishun,800,Room for rent in Yishun,https://sg.roomz.asia/1534
North Singapore,Woodlands,600,Middle room for rent at Blk 880 prefer  👩female,https://sg.roomz.asia/1489
North Singapore,Yishun,800,Single room for rent at 763505 prefer  👩female,https://sg.roomz.asia/1483
North Singapore,Woodlands,800,Master room for rent at 732628 with private 🛁bathroom prefer  👩female,https://sg.roomz.asia/1451
North Singapore,Woodlands,700,Single room for rent at ,https://sg.roomz.asia/1409
North Singapore,Yishun,750,Single room for rent at 760841,https://sg.roomz.asia/1405
North East Singapore,Sengkang,950,2 F/F common rooms available for rental in Sengkang,https://sg.roomz.asia/2302
North East Singapore,Serangoon,450,🛏️Shared room for rent at 341104,https://sg.roomz.asia/2304
North East Singapore,Ang Mo Kio,950,Master room for rent at 560449 with private 🛁bathroom,https://sg.roomz.asia/2300
North East Singapore,Serangoon,800,Single room for rent at 550334 prefer  👩female,https://sg.roomz.asia/2289
North East Singapore,Sengkang,1200,Master room for rent at Anchorvale Road with private 🛁bathroom prefer  👩female,https://sg.roomz.asia/2269
North East Singapore,Hougang,650,Single room for rent at 530418,https://sg.roomz.asia/2261
North East Singapore,Ang Mo Kio,800,Single room for rent at 560633 with private 🛁bathroom prefer  👩female,https://sg.roomz.asia/2236
North East Singapore,Hougang,800,Single room for rent at 109 Tampines Rd with private 🛁bathroom,https://sg.roomz.asia/2202
North East Singapore,Serangoon,750,Middle room for rent at 550238,https://sg.roomz.asia/2215
North East Singapore,Ang Mo Kio,800,Single room for rent at Block 230 HDB Ang Mo Kio,https://sg.roomz.asia/2148
North East Singapore,Sengkang,1000,Single room for rent at 8 Rivervale Link prefer  👩female,https://sg.roomz.asia/2118
North East Singapore,Sengkang,1000,Single room for rent at 8 Rivervale Link prefer  👩female,https://sg.roomz.asia/2117
North East Singapore,Sengkang,900,Single room for rent at Fernvale Lane Sengkang,https://sg.roomz.asia/2086
North East Singapore,Sengkang,900,Single room for rent at Fernvale Lane Sengkang,https://sg.roomz.asia/2085
North East Singapore,North-East Singapore,1500,Private room in condominium [City view],https://sg.roomz.asia/1750
North East Singapore,Hougang,530,Middle room for rent at Phillips Avenue prefer  👩female,https://sg.roomz.asia/1714
North East Singapore,Hougang,850,Master room for rent at Evergreen Park with private 🛁bathroom,https://sg.roomz.asia/1704
North East Singapore,Serangoon,1200,Middle room for rent at  prefer  👩female,https://sg.roomz.asia/1703
North East Singapore,Punggol,700,Single room for rent at 310C Waterway Terraces II prefer  👩female,https://sg.roomz.asia/1692
North East Singapore,Ang Mo Kio,800,Middle room for rent at 560633 with private 🛁bathroom prefer  👩female,https://sg.roomz.asia/1649
North East Singapore,Hougang,1000,🛏️Shared room for rent at 530652,https://sg.roomz.asia/1660
North East Singapore,Hougang,750,Single room for rent at 530116 ALL IN,https://sg.roomz.asia/1640
North East Singapore,Hougang,1200,Single room for rent at Hougang/Kovan/Serangoon,https://sg.roomz.asia/1608
North East Singapore,Punggol,650,Single room for rent at Punggol,https://sg.roomz.asia/1601
East Singapore,Katong,1299,Modern Single room for rent at Joo Chiat Place - NEWLY RENOVATED,https://sg.roomz.asia/1520
East Singapore,Katong,1399,Cozy Modern Single room for rent at Joo Chiat Place - NEWLY RENOVATED,https://sg.roomz.asia/1519
East Singapore,Katong,1399,Cozy Modern Single room for rent at Joo Chiat Place - NEWLY RENOVATED,https://sg.roomz.asia/1518
East Singapore,Tampines,1000,Middle room for rent at Tampines Central 7,https://sg.roomz.asia/1513
East Singapore,Tampines,750,Single room for rent at 498M Tampines Street 45,https://sg.roomz.asia/1508
East Singapore,Simei,650,Single room for rent at 520232,https://sg.roomz.asia/1453
East Singapore,Simei,650,Single room for rent at 520232,https://sg.roomz.asia/1452
East Singapore,Bedok,950,Middle room for rent at ,https://sg.roomz.asia/1419
East Singapore,Tampines,700,Single room for rent at Tampines Street 45,https://sg.roomz.asia/1410
Central Singapore,Bukit Merah,1100,Specious aircon common room available at bukit purmei road,https://sg.roomz.asia/2299
Central Singapore,Queenstown,1000,Single room for rent at Queenstown prefer  👩female,https://sg.roomz.asia/2293
Central Singapore,Bishan,1050,Middle room for rent at 570216,https://sg.roomz.asia/2276
Central Singapore,Kallang,1000,Centrally located common Room ,https://sg.roomz.asia/2263
Central Singapore,Kallang,1000,Single room for rent at 330022,https://sg.roomz.asia/2262
Central Singapore,Toa Payoh,500,Single room for rent at Lorong 3 Toa Payoh prefer  👩female,https://sg.roomz.asia/2255
Central Singapore,Lavender,1450,Middle room for rent at Block 17 HDB Beach,https://sg.roomz.asia/2252
Central Singapore,Kallang,750,Single room for rent at 22 Boon Keng Rd,https://sg.roomz.asia/2247
Central Singapore,Tanjong Pagar,1100,Single room for rent at Block 12,https://sg.roomz.asia/2242
Central Singapore,Geylang,600,Single room for rent at Circuit Road prefer  🎓student,https://sg.roomz.asia/2240
Central Singapore,Outram,900,Single room for rent at 059108,https://sg.roomz.asia/2225
Central Singapore,Bishan,650,Single room for rent at 570173 with private 🛁bathroom,https://sg.roomz.asia/2151
Central Singapore,Novena,700,Single room for rent at 329557,https://sg.roomz.asia/2150
Central Singapore,Novena,800,Studio room for rent at 60 Newton Rd with private 🛁bathroom,https://sg.roomz.asia/2125
Central Singapore,Kallang,1000,Single room for rent at St. George's Road Singapore prefer  👩female,https://sg.roomz.asia/2078
Central Singapore,River Valley,1000,NoAgtFee❤ NO OWNER CONDO❤Near Somerset MRT/ Orchard Rd+Maid Svc+Wifi,https://sg.roomz.asia/2072
Central Singapore,Rochor,1000,NoAgtFees❤Near Bugis MRT/ Little India Mrt+ Newly Renovated+Maid Svc+Wifi ,https://sg.roomz.asia/2070
Central Singapore,River Valley,1000,Single room fo❤NO OWNER CONDO❤Nr Somerset MRT/ Orchard Rd +Smart TV+Can Cook + WIFI r rent at Euro-Asia Court,https://sg.roomz.asia/2057
Central Singapore,Bukit Merah,1000,Single room for rent at 090034,https://sg.roomz.asia/2060
Central Singapore,Bishan,950,Single room for rent at Block 110 with private 🛁bathroom prefer  👩female,https://sg.roomz.asia/2051
Central Singapore,Toa Payoh,850,Single room for rent at Lorong 8 Toa Payoh,https://sg.roomz.asia/2050
Central Singapore,Lavender,450,《NoAgtFee》💖NO OWNER ❤Master room for 👩female at Lavender mrt,https://sg.roomz.asia/1945
Central Singapore,Geylang,1350,Master room for rent at Eunos MRT Station (EW7) with private 🛁bathroom,https://sg.roomz.asia/1923
Central Singapore,Novena,800,Master room for rent at 41 Newton Rd with private 🛁bathroom,https://sg.roomz.asia/1412
North East Singapore,Hougang,450,3 bedroom 2 bathroom hdb for rent at 531981,https://sg.roomz.asia/1574
North East Singapore,Sengkang,900,Middle room for rent at Sengkang with private 🛁bathroom,https://sg.roomz.asia/1572
North East Singapore,Serangoon,400,Single room for rent at 550521 prefer  👩female,https://sg.roomz.asia/1567
North East Singapore,Hougang,800,Single room for rent at 532699,https://sg.roomz.asia/1560
North East Singapore,Ang Mo Kio,900,"Single room for rent at 588C , AMK ST52 PARK CENTRAL",https://sg.roomz.asia/1553
North East Singapore,Sengkang,900,Middle room for rent at 543291 with private 🛁bathroom,https://sg.roomz.asia/1501
North East Singapore,Punggol,800,Punggol Central - Cozy Room ( Near Mrt & Mall ),https://sg.roomz.asia/1495
North East Singapore,Hougang,1000,Condo Common Room for Rent in Hougang (Rio Vista) 534206,https://sg.roomz.asia/1488
